LogisticRegression_f1	LogisticRegression_precision	LogisticRegression_recall	decay	depth	featurizer	max_regions	model	model_prefix	sample_size	timestamp
0.450238095238	0.436666666667	0.55	0.2	5	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:35:01 2015
0.456904761905	0.445	0.55	0.6	0	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:16:56 2015
0.459285714286	0.46	0.5	0.95	7	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:42:25 2015
0.46880952381	0.448333333333	0.55	0.9	0	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:16:56 2015
0.478333333333	0.466666666667	0.575	0.8	0	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:16:56 2015
0.478571428571	0.461666666667	0.55	0.4	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:23:51 2015
0.479285714286	0.485	0.525	1.0	7	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:42:57 2015
0.480238095238	0.453333333333	0.575	0.95	0	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:16:55 2015
0.480238095238	0.453333333333	0.575	1.0	0	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:16:56 2015
0.480476190476	0.465	0.575	0.2	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:23:56 2015
0.481666666667	0.491666666667	0.55	0.2	0	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:16:53 2015
0.482142857143	0.456666666667	0.575	0.2	1	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:20:24 2015
